title_id,title_name_kr,title_name_en,title_url,title_image,views,likes,rating,rating_count,tags,genre,art_author,content_format,synopsis,pitch,creator_id,created_at,updated_at,story_author,comps,tagline,description,completed,chapters,perfect_for,tone,audience,rights
a8ef68ad-7836-4104-8318-3ecb6363d112,,Princess of the Animals,,,5000000,,,,[],ROMANCE,Manta Comics,,,,e05e353c-60c7-4253-a7da-e0da35f3cf44,2025-07-23 08:56:59.827661+00,2025-07-23 08:56:59.827661+00,Rayoon,Snow White,One of the top webcomic titles in Japan (on the Piccoma platform),"Though Elise is forced to live in isolation, she doesn't feel alone thanks to her ability to communicate with animals. That is until she's sent off to marry the ruler of what's known as the Land of the Barbarians! What adventures, and dangers, await Elise in this strange, new world?",ONGOING,54,DRAMA SERIES,EXCITING,ADULTS 18-34,MANTA/RIDI
aa903452-ca95-49d0-895e-94d57465409b,,Women's Soccer,,,1000000,,,,[],COMEDY,Gabi Nam,,,,e05e353c-60c7-4253-a7da-e0da35f3cf44,2025-07-23 08:56:59.827661+00,2025-07-23 08:56:59.827661+00,"Honbi Kim, Gabi Nam",Bend It Like Beckham,Girlpower and soccer for the win!,"The power of women playing soccer.
Eonam is unexpectedly invited to join the local women's soccer team. With bad group experiences in the past, she isn't sure if soccer is for her. But after that first kick of the ball and getting to know the other women on the team, Eonam's life begins to change for the better.",COMPLETED,16,COMEDY SERIES,INSPIRATIONAL,ADULTS 18-34,MANTA/RIDI
ad580bb2-d3a7-4d80-af6d-faa84509d56c,,Reunion,,,1000000,,,,[],LGBTQ+,Deulsum,,,,e05e353c-60c7-4253-a7da-e0da35f3cf44,2025-07-23 08:56:59.827661+00,2025-07-23 08:56:59.827661+00,2coin,"Heartstopper, Just One of the Guys","Secret Identity
Aspirational","Struggling to pay his mother's hospital bills, Hakyung receives an offer: the fees will be taken care of. The catch? In exchange, he must pretend to be a girl he once knew in order to deceive the chairman of a powerful company. It's going well until Yoonsung, the chairman's grandson, appears...",ONGOING,51,DRAMA SERIES,ROMANTIC,ADULTS 18-34,MANTA/RIDI
ad9144b9-3d2b-442e-8c7a-16c0785dd6c9,,"Being Me, Being You",,,1000000,,,,[],DRAMEDY,Chanhoo,,,,e05e353c-60c7-4253-a7da-e0da35f3cf44,2025-07-23 08:56:59.827661+00,2025-07-23 08:56:59.827661+00,"Jun Mee Kyung, Chanhoo",The Worst Person in the World or Shrinking,A story of self-discovery,"I'm learning to love myself.
Hyeonjung, a physiotherapist, dreams of drawing comics despite her family constantly putting her down. Her boyfriend Seulgi is a successful cartoonist, but he can't stand it when he finds himself in a rut while Hyeonjung matures and evolves. The two find themselves on the way to splitting up...",COMPLETED,15,FEATURE OR SERIES,WITTY,ADULTS 18-34,MANTA/RIDI
ae42277b-edd5-4cc7-b4b0-e6e976276c30,,Duchess Crow,,,5000000,,,,[],ROMANCE,Sbread,,,,e05e353c-60c7-4253-a7da-e0da35f3cf44,2025-07-23 08:56:59.827661+00,2025-07-23 08:56:59.827661+00,Bittoru,The Taming of the Shrew,An empowered female lead,"Could love bedazzle like a gem?
For Melisa, the best gemologist in Annabel, no love can outshine a gem. She'd rather remain single and devoted to her career! But just when she thinks she has it all figured out, Duke Lewis Winterfelt, the most eligible bachelor in all the kingdom, asks for her hand in marriage — through a contract!",ONGOING,60,DRAMA SERIES,EXCITING,ADULTS 18-34,MANTA/RIDI
b14964ed-091c-481c-a1b0-cdd3e30c36cd,,"My Sweet Enemy, Thy Name is Husband",,,1000000,,,,[],ROMANCE,Manta Comics,,,,e05e353c-60c7-4253-a7da-e0da35f3cf44,2025-07-23 08:56:59.827661+00,2025-07-23 08:56:59.827661+00,Slope,Queen Margot,The ultimate enemies-to-lovers romance,"My husband, my nemesis. Till death do us part.
Canach Riadon — a slave who rose to emperor and the man I wed in my first life. Yet our ill-fated marriage left my family murdered and my homeland destroyed at his hands. Now given a second chance, I vow to succeed in this political marriage and save all I love... Or will his love save me first?",ONGOING,34,DRAMA SERIES,EXCITING,ADULTS 18-34,MANTA/RIDI
b61218e3-1015-48f1-addb-d2bf2eba9ffd,,"My Husband,",,,10000000,,,,[],ROMANCE,WOOSA,,,,e05e353c-60c7-4253-a7da-e0da35f3cf44,2025-07-23 08:56:59.827661+00,2025-07-23 08:56:59.827661+00,"Muso, Pistachio",Revenge,YouTube Trailer,"“I taste her on your lips.”
On the night of our fourth wedding anniversary, I witnessed my husband having an affair. ""I love you,"" he told my twin sister as he laid on top of her. This can't just end easily with a divorce. No, I'll make them pay for this.",COMPLETED,70,DRAMA SERIES,EXCITING,ADULTS 18-34,MANTA/RIDI
b639c2ef-7f99-457b-b9ed-96bc33d0b0be,,Bongchon Bride,,,10000000,,,,[],PERIOD,Sohn Gaepi,,,,e05e353c-60c7-4253-a7da-e0da35f3cf44,2025-07-23 08:56:59.827661+00,2025-07-23 08:56:59.827661+00,Sohn Gaepi,Pretty Woman,An unlikely love story,"He bought me for 50 sacks of rice.
Soongap is nearly beaten to death by his master when friendly giant Bongchun buys him and saves his life. Bongchun's blind mother is delighted, believing her son has finally brought home a bride. And the more Bongchun treats Soongap like his darling bride, the more things get heated...",ONGOING,86,DRAMA SERIES,EXCITING,ADULTS 18-34,MANTA/RIDI
b722167e-3413-475a-a8d4-e7b48d2a0ae1,,Mokrin,,,5000000,,,,[],HISTORICAL,Manta Comics,,,,e05e353c-60c7-4253-a7da-e0da35f3cf44,2025-07-23 08:56:59.827661+00,2025-07-23 08:56:59.827661+00,Gyeoma,"Beauty and the Beast, Pocahontas",A wonderful island world to explore through a romantic epic,"Can love transcend all boundaries?
The 200-year long peace in Mokrin's island tribe is broken when the warlike Gyui-heols arrive to demand open borders. What's more, Eonyeong, the son of their chieftess, falls hopelessly in love with Mokrin. Now it's up to her — will she spurn his affection or marry him for the sake of her people?",COMPLETED,41,DRAMA SERIES,EXCITING,ADULTS 18-34,MANTA/RIDI
ba51fb4f-b828-4c79-b6c1-2d08d77bd8db,,When Fate Finds Us,,,2000000,,,,[],ROMANCE,Manta Comics,,,,e05e353c-60c7-4253-a7da-e0da35f3cf44,2025-07-23 08:56:59.827661+00,2025-07-23 08:56:59.827661+00,Manta Comics,The Princess Bride,A fantasy epic of twisted fates and forbidden love.,"As a prophetess, Noemi can see the futures of those she touches. Yet sadly, as the wife of a god, she sees only death in her own fateful future. But then, a sudden kiss with an unruly merchant brings a vision of life. Could he be Noemi's key to survival? Or will she be unable to escape her destiny?",ONGOING,25,DRAMA SERIES,EPIC,ADULTS 18-34,MANTA/RIDI
